Train ID	Starting Point	Destination Point	Length(m)	Arrival Time	Departure Time
1	F	B	100	23:45:10.	23:45:14.
3	A	F	100	23:45:11.	23:45:16.
5	A	F	100	23:45:12.	23:45:18.
0	B	E	100	23:45:10.	23:45:24.
4	E	B	200	23:45:11.	23:45:27.
6	E	A	200	23:45:13.	23:45:30.
7	F	B	100	23:45:13.	23:45:36.
8	F	B	200	23:45:14.	23:45:39.
15	A	E	100	23:45:17.	23:45:41.
21	A	E	100	23:45:20.	23:45:43.
20	F	A	100	23:45:20.	23:45:49.
22	F	A	100	23:45:21.	23:45:51.
27	A	F	100	23:45:23.	23:45:53.
29	A	E	200	23:45:24.	23:45:56.
32	A	F	100	23:45:26.	23:45:58.
34	F	A	100	23:45:26.	23:46:00.
35	A	E	200	23:45:27.	23:46:03.
36	F	A	100	23:45:27.	23:46:05.
38	A	E	100	23:45:28.	23:46:07.
39	F	B	100	23:45:28.	23:46:09.
